domain,price
ebay.com,"[HTTP API price extraction error: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /price-extract (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43bc54b220>: Failed to establish a new connection: [Errno 111] Connection refused'))]"
ebay.uk,error: 
ebay.de,"[HTTP API price extraction error: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /price-extract (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43bc5548e0>: Failed to establish a new connection: [Errno 111] Connection refused'))]"
paypal.com,"[HTTP API price extraction error: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /price-extract (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43bc4967a0>: Failed to establish a new connection: [Errno 111] Connection refused'))]"
adyen.com,"[HTTP API price extraction error: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /price-extract (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43bc48de70>: Failed to establish a new connection: [Errno 111] Connection refused'))]"
takeaway.com,"[HTTP API price extraction error: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /price-extract (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43bc048160>: Failed to establish a new connection: [Errno 111] Connection refused'))]"
syf.com,"[HTTP API price extraction error: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /price-extract (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43d5d25630>: Failed to establish a new connection: [Errno 111] Connection refused'))]"
pay1.de,error: Cannot connect to host pay1.de:443 ssl:default [No address associated with hostname]
etsy.com,"[HTTP API price extraction error: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /price-extract (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43bc0f5000>: Failed to establish a new connection: [Errno 111] Connection refused'))]"
ebay.au,"[HTTP API price extraction error: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /price-extract (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43bc549450>: Failed to establish a new connection: [Errno 111] Connection refused'))]"
google.com,"[HTTP API price extraction error: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /price-extract (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43bc625f30>: Failed to establish a new connection: [Errno 111] Connection refused'))]"
spotify.com,"[HTTP API price extraction error: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /price-extract (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43bc2953c0>: Failed to establish a new connection: [Errno 111] Connection refused'))]"
landsend.com,"[HTTP API price extraction error: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /price-extract (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43bc718a90>: Failed to establish a new connection: [Errno 111] Connection refused'))]"
ryanair.com,"error: 400, message='Got more than 8190 bytes (9368) when reading Header value is too long.', url='https://www.ryanair.com/us/en'"
xoom.com,"[HTTP API price extraction error: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /price-extract (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43bc125a20>: Failed to establish a new connection: [Errno 111] Connection refused'))]"
ebay.it,"[HTTP API price extraction error: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /price-extract (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43bc26c0a0>: Failed to establish a new connection: [Errno 111] Connection refused'))]"
computop-paygate.com,"[HTTP API price extraction error: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /price-extract (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43aef3bee0>: Failed to establish a new connection: [Errno 111] Connection refused'))]"
temu.com,"[HTTP API price extraction error: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /price-extract (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43bc4ec400>: Failed to establish a new connection: [Errno 111] Connection refused'))]"
stripe.com,"[HTTP API price extraction error: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /price-extract (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43bc02f670>: Failed to establish a new connection: [Errno 111] Connection refused'))]"
recaptcha.net,"[HTTP API price extraction error: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /price-extract (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43bc700220>: Failed to establish a new connection: [Errno 111] Connection refused'))]"
worldpay.com,"[HTTP API price extraction error: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /price-extract (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43bc5a8ee0>: Failed to establish a new connection: [Errno 111] Connection refused'))]"
netflix.com,"[HTTP API price extraction error: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /price-extract (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43bc30eaa0>: Failed to establish a new connection: [Errno 111] Connection refused'))]"
cardinalcommerce.com,"[HTTP API price extraction error: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /price-extract (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43bc3df9a0>: Failed to establish a new connection: [Errno 111] Connection refused'))]"
g2a.com,error: 
bandcamp.com,"[HTTP API price extraction error: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /price-extract (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43bc557b50>: Failed to establish a new connection: [Errno 111] Connection refused'))]"
nintendo.com,"[HTTP API price extraction error: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /price-extract (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43ac987040>: Failed to establish a new connection: [Errno 111] Connection refused'))]"
facebook.com,"[HTTP API price extraction error: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /price-extract (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43bc5ab820>: Failed to establish a new connection: [Errno 111] Connection refused'))]"
joinhoney.com,"[HTTP API price extraction error: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /price-extract (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43bc4edde0>: Failed to establish a new connection: [Errno 111] Connection refused'))]"
cdkeys.com,"error: 400, message='Got more than 8190 bytes (9294) when reading Header value is too long.', url='https://www.cdkeys.com/'"
microsoft.com,"[HTTP API price extraction error: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /price-extract (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43bc5051b0>: Failed to establish a new connection: [Errno 111] Connection refused'))]"
mynt.xyz,"[HTTP API price extraction error: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /price-extract (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43bc549720>: Failed to establish a new connection: [Errno 111] Connection refused'))]"
mollie.com,"[HTTP API price extraction error: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /price-extract (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43bc26d090>: Failed to establish a new connection: [Errno 111] Connection refused'))]"
nike.com,"[HTTP API price extraction error: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /price-extract (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43bc049ae0>: Failed to establish a new connection: [Errno 111] Connection refused'))]"
ebay.fr,"[HTTP API price extraction error: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /price-extract (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43bc71bdc0>: Failed to establish a new connection: [Errno 111] Connection refused'))]"
itch.io,"[HTTP API price extraction error: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /price-extract (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43bc71a440>: Failed to establish a new connection: [Errno 111] Connection refused'))]"
shipstation.com,"[HTTP API price extraction error: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /price-extract (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43bc3b0f40>: Failed to establish a new connection: [Errno 111] Connection refused'))]"
